Index;Classement;Cha�ne;Abonn�s;Vues;Vid�os;Cat�gorie;Ann�e de cr�ation;Vues/vid�os;Vues/abonn�;Anciennet�;Abonn�s/an;Vues/an
288;289;ABP NEWS;35 500 000;11 840 564 703;262326;People & Blogs;2012;45 136,83;333,54;13;2 730 769,23;910 812 669,46
289;290;GMMTV OFFICIAL​​;15 800 000;11 838 649 898;22174;Entertainment;2010;533 897,80;749,28;15;1 053 333,33;789 243 326,53
290;291;michaeljacksonVEVO;8 080 000;11 806 216 949;138;Music;2009;85 552 296,73;1 461,17;16;505 000,00;737 888 559,31
291;292;ItsFunneh;9 840 000;11 791 649 003;2519;Gaming;2011;4 681 083,37;1 198,34;14;702 857,14;842 260 643,07
292;293;NBA;19 900 000;11 761 981 184;45177;Sports;2005;260 353,30;591,05;20;995 000,00;588 099 059,20
293;294;ChainsmokersVEVO;11 100 000;11 734 620 739;246;Music;2012;47 701 710,32;1 057,17;13;853 846,15;902 663 133,77
294;295;eltrece;12 100 000;11 709 869 278;159305;Entertainment;2014;73 505,97;967,76;11;1 100 000,00;1 064 533 570,73
295;296;Jake Fellman;15 000 000;11 618 626 248;440;Entertainment;2012;26 405 968,75;774,58;13;1 153 846,15;893 740 480,62
296;297;DisneyJuniorUK;11 300 000;11 586 962 179;2789;Entertainment;2010;4 154 522,12;1 025,39;15;753 333,33;772 464 145,27
297;298;JTBC Entertainment;7 580 000;11 512 332 695;76838;Entertainment;2012;149 826,03;1 518,78;13;583 076,92;885 564 053,46
298;299;Mnet TV;9 040 000;11 442 069 884;21617;Entertainment;2013;529 308,87;1 265,72;12;753 333,33;953 505 823,67
299;300;GMA News;12 900 000;11 387 663 843;345736;News & Politics;2007;32 937,45;882,76;18;716 666,67;632 647 991,28
